TypeOfRequest,RouteNumber,City,From,To,Timings,Comments,Response,Date
New Route,,Bengaluru,Yelahanka Kodigehalli Gate (towards HEBBALA),Koramangala Police Station (towards NATIONAL GAMES VILLAGE),,Please have direct bus to koramangla via shivajinagar,,05-Jan-16
Increase Frequency,241G,Bengaluru,,,,We don't have more buses on this route only one bus is running in this route.Please put More buses.,,08-Jan-16
New Route,,Bengaluru,Yelahanka Kodigehalli Gate (towards HEBBALA),Electronic City (towards MADIWAL),,Request to add buses to this route as people have to go via majestic/market to reach electronic city. which is painful and takes more time. A direct bus frequency would help a lot,,14-Dec-15
Other,,Bengaluru,,,,"Request to kindly change schedule time of route no.37A Muneshwara block to Shivajinagar morning at 9 am - Vidhana Soudha trip and to fix the pick up point at next to LG Showroom, Girinagar i.e., opp. to Mohan bar in Avalahalli.  As there will be no commuters in Muneshwara block while Vidhana Soudha trip which is now leaving at 9.30.  Hoping for the needful from you at the earliest.",,14-Dec-15
Increase Frequency,500,Bengaluru,,,,"Team, We find the route between Banashankari and ITPL has only flooded with Volvo service. We often do not find any regular bus service in this route. Hence considering there are other people who can not afford travelling in AC and change the route at Marathahalli, we request you to increase the regular bus frequency.",,22-Dec-15
New Route,,Bengaluru,Budigere (towards BUDIGERE CROSS),Sarjapura Bus Stand (towards TOWARDS SARJAPURA),,"plz operate new route via- Kadugodi, whitefield, Immadihalli, Valepura, Muthsandra, Nerige, V.Kallahalli, Ittangur.",??????????? ?????? ??? ???? ????? ????????? ???? ?????????????????.,24-Dec-15
New Route,,Bengaluru,Adugodi Police Quarters (towards TOWARDS BRIGADE JUNCTION),Nagashettyhalli (towards GANGENAHALLI),,"Please provide buses from Adugodi/Kormangala to Mekhri circle/Nagashetty halli terminus. Currently, there are no direct buses and the transit is through Shivajinagar terminus which is extremely crowded during peak hours.",????? ??????: 279-? ????? ???????????? ?????? ????????? ???? ??????? ???????? ????? ??????? ????????? ????? ??????? ????? ???? 02 ??????????????? ??????? ??????: 114-?? ????? ?????? ????????? ??????? ?????????? ????? ??????? ????????? ??????????????? ??????????? ???? ??????????? ??????????????????.,24-Dec-15
Increase Frequency,37,Bengaluru,,,,"The frequency of buses reduces sharply in the evening as far like one bus for every half an hour definitely without any chance for having the seat after Richmond. Please ensure buses are running ,  dont just allot the bus and leave it. Track whether buses are running in the route",,25-Dec-15
Increase Frequency,365B,Bengaluru,,,,Volvo buses from Majestic to BG road in the evening from 5 to 6:30pm are most erratic. Please ensure at least one in 15 min. Every day new conductor on this route will give different timings when we asked. ,,26-Dec-15
New Route,,Bengaluru,Sulthan Palya (towards RT NAGARA POLICE STATION),Yashwanthpura Circle (towards \N),,we found difficult to go to yashawanthpur raliway station and commuting for various other purposes,,03-Jun-16
Increase Frequency,500B,Bengaluru,,,,Increase frequency in morning and Evening ,????????????????.,27-Dec-15
Other,,Bengaluru,,,,no buses between NGEF to HAL,,12-Jan-16
Increase Frequency,244C,Bengaluru,,,,Additional trips with new schedules required,,27-Jan-16
New Route,,Bengaluru,Kengeri TTMC (towards TOWARDS SHIRKE),Shivajinagar Bus Station (towards TOWARDS INDIAN EXRESS),,new bus route via Nagarbhavi BDA Complex and Yeswantpur TTMC i.e. on extended route of 401M,,27-Jan-16
Other,,Bengaluru,,,,Extend V-500CA services till Hope Farm. Also increase frequency of buses from 7 P.M. to 10 P.M.,,14-Dec-15
Other,,Bengaluru,,,,HSR-FDR1 is being run in HSR layout to connect to outer ring road and silk board. The frequency and timings are unknown and hence very few people are aware of when would the bus come. The usage would increase quite a bit if there was information around schedule/timings of the bus.,,14-Dec-15
New Route,,Bengaluru,Attibele (towards SARJAPURA),Manyatha Tech Park (towards HEBBALA),,"Currently there is no direct bus in this direction, the volvo buses from attibele can use attibele, sarjapura,orr route to manyata",,14-Dec-15
New Route,,Bengaluru,Manyatha Tech Park (towards TIN FACTORY KR PURAM),Sarjapura Police Station (towards TOWARDS KORAMANGALA),,Currently getting a bus to sarjapura from orr is a mess,??????????? 601 ????? ?????????????????. ??? ??????? ??? ????? ????????? ???? ?????????????????.,14-Dec-15
Increase Frequency,no existing match,Bengaluru,,,,"Please increase the frequency of Nice 3 bus which runs from Sreenagar to Wiprogate Electronic city as it's extremely crowded. Please provide one more bus.
",?É???????? ???????? ???????????????.,06-Jan-16
Increase Frequency,500,Bengaluru,,,,"Need more buses from Silk Board to Hebbal route on weekdays from 6.30 PM to 8.30 PM as very less number of buses comes, which will always be heavily crowded. Interestingly, we find Volvo buses passing on the same route almost one bus for every 5 mins, but ordinary buses frequency is one for 30 mins, which makes BMTC commutation very hectic and difficult for a Middle class passengers like me.",,14-Dec-15
New Route,,Bengaluru,Raghuvanahalli Gate (towards TOWARDS KAGGALIPURA),Hebbala Bridge (towards TIN FACTORY KR PURAM),,"No AC bus on Kankapura road from Talgatpura to Banshankari. There are no direct buses from Talaghatpura to Hebbal via Outer ring road. There are so many IT ppl stay in this area, but due to non availabilty of AC bus, ppl will prefer to take private vehicle",,14-Dec-15
New Route,,Bengaluru,Majestic (towards Super Talkies),Yelenahalli (towards Last stop),,Via Begur,,14-Dec-15
Other,,Bengaluru,,,,"Please consider a volvo route to airport via Whitefield, Kadugodi, Budigere",,14-Nov-15
New Route,,Bengaluru,Bhadrappa Layout (towards HEBBALA),Garudachar Palya (towards HOPE FARM),,please increase the frequency of V502G between bhadrappa layout and ITPL. Currently there are only 3 buses and the timings are irregular.,"???? ?????????? ????????? ????????????????? ????????????? ????????????? ????? ?????????????, ????????????? ??????????? ?????????.",14-Dec-15
New Route,,Bengaluru,Chambenahalli (towards TOWARDS KORAMANGALA),Satya Sai Hospital (towards MARATHAHALLI),,There is no direct route for above mentioned points. We can have one route via Borewell road to ITPL,?????????????? ???? ????? ????????? ???? ?????????????????.,14-Dec-15
New Route,,Bengaluru,Hebbala Bridge (towards TIN FACTORY KR PURAM),Nerige (towards GUNJURU),,Please re- operate bus route 500R,????????? ?????????? ???? ?????? ?????? ?????????? ?????????.,14-Dec-15
New Route,,Bengaluru,Brigade Road (towards TOWARDS BRIGADE JUNCTION),Jigani APC Circle (towards O.T.C. CIRCLE),,Please add few buses to this route as it is a long distance and covers many areas.,,07-Jan-16
New Route,,Bengaluru,Kannalli (towards KENCHANAPURA),Nayandahalli Cross (towards MYSORE ROAD),,This request is regarding the connectivity of Metro to Upcoming Houses in Gated Community,,13-Jun-16
Increase Frequency,356CA,Bengaluru,,,,Please increase the frequency of 356CW in peak hours,,08-Jan-16
New Route,,Bengaluru,Electronic City Wipro Gate (towards TOWARDS ELC WIPRO),Vidyaranyapura (towards null),,Please start new bus route at the requested time in order to have a convenient commute from Electronic City to Vidyaranyapura. Currently V-276G ply on this route but it's timing is not convenient.,,08-Jan-16
Increase Frequency,MF-7,Bengaluru,,,,Please increase frequency of this route in order to cater to Metro commuters who reside in Kaggadasapura and CV Raman Nagar who commute to other parts of the city  daily for work.,,13-Jun-16
New Route,,Bengaluru,Doddaballapura (towards YELAHANKA),Manyatha Tech Park (towards TIN FACTORY KR PURAM),,"Many commuters in yelahanka, Puttenahalli,Jakkur,Sahakarnagara, Kodigehalli travelling to manyata and tin factory for office jobs.We don't have direct bus facility towards manyata so we relying on own vehicle. The interchange in  hebbal is pain since we need to walk around 1km near habbal junction for getting in other bus. It will be great if you can start both AC and Non AC bus from doddaballpur every 15 mins .","????? ??????: 500-??, 500-??, ????-10 ?????? ????? 7 ??????????????, ? ????? ???????? ?????/????? 5?? ??????? ?????? ???? ??????  ????????? ??????????????????????. ????????? ?????/????? ???????? ??? ???? ???? ?????? ??????????? ??????????????????.",15-Dec-15
New Route,,Bengaluru,Hennagara (towards ELECTRONIC CITY),Manyatha Tech Park (towards HEBBALA),,This bus is needed from Vakil Encasa,,28-Dec-15
New Route,,Bengaluru,Tippasandra (towards ULSOOR),Krishnarajendra Market (towards LAST STOP),,Less frequent buses,??????????? ??-4 ????? 12 ???????????? ????? ???????????????????.,10-Jan-16
New Route,,Bengaluru,Hennagra Gate (towards ELECTRONIC CITY),Jayanagara 9th Block (towards JAYANAGARA),,This bus is needed from Vakil Encasa.,?0????? ????????????? ??????? ??? ???? ????? ????????? ???? ?????????????????.,28-Dec-15
New Route,,Bengaluru,Hennagra Gate (towards ELECTRONIC CITY),ITPL (towards I.T.P.L.),,This bus is needed from Vakil Encasa,?0????? ????????????? ??????? ??? ???? ????? ????????? ???? ?????????????????.,28-Dec-15
New Route,,Bengaluru,Kodigehalli gate (towards YELAHANKA),Silk Board Attibele Road (towards 356W LAST POINT),,Please provide new bus ,,29-Dec-15
New Route,,Bengaluru,C V Ramanagra (towards BEML),Central Silk Board (towards MARATHAHALLI),,"via Marathahalli, Outer Ring Road",??????????? 201-??? ????? ?????????????????.,06-Jan-16
New Route,,Bengaluru,K R Puram (towards TOWARDS KBS),B Channasandra bridge (towards T.C.PALYA),,Introduce mini buses(Single Door Buses) from B channasandra bridge to KR Puram via TC palya main road for 15-20 minutes frequency. As most of the people are dependent on Shared autos  due to poor BMTC bus frequency in T C palya main road.,"??????????? 300-? ????? 15 ????????????, ????? ???????????????????.",22-Nov-15
New Route,,Bengaluru,Bannerghatta National Park (towards \N),Shivajinagar Bus Station (towards TOWARDS INDIAN EXRESS),,"Hi as You now that their is no Buses for Shivajinagar Bus Stand from Bannerghatta National Park Via Dairy Circle & Double Road where we should want to Get down in Lakkasandra to go for Shivajinagar , as you now that their are lot of areas on Bannerghatta Road so I Kindly Request you to Put New Buses from this Route its an Humble Request ....  ",,22-Nov-15
Increase Frequency,328HB,Bengaluru,,,,Please increase frequency of Route No: 328B as after 7 PM frequency in very poor. passengers need to wait 30-45 minutes for the buses.,,23-Nov-15
New Route,,Bengaluru,Yelahanka Satelite Town (towards TOWARDS YELAHANKA TOWN),ITPL (towards I.T.P.L.),,"Dear Sir / Madam,

Yelahanka is one of the most prominent areas in North Bangalore. The population in and around Yelahanka is growing rapidly nowadays. But there is no bus service available to go to East and South Bangalore areas via Outer Ring Road. 

Currently we need to come to Hebbal bus stop by using city side buses and then we have to cross the railway track to reach Outer Ring Road. Finally we have to wait to catch other buses. This entire process takes 45 minutes to 1 hour depends upon Esteem mall traffic for every person.
 
So I request you to create two new bus routes (Volvo or Ordinary) from Yelahanka to Electronic City and Whitefield via Airport road to reach below areas: 
Hebbal ORR bus stop, Manyata Tech Park, Hennur, Kalyan Nagar, Ramamurthy Nagar, Tin factory,  KR Puram Railway Station, Marathahalli, JP Morgan, New Horizon College(Embassy Tech Village), Eco Space, Bellandur, HSR Layout, Silk board, (BTM Layout- Jayanagar-JP Nagar), (Bommanahalli - Electronic city), (Hoody Signal- IGATE bus stop- Vaidehi Hospital- ITPL).

I believe that these roots will definitely replace many cars from Airport road and Outer ring road (Mainly from Whitefield and Electronic city employees) every day and it will help to reduce the pollution in main junctions.

Please consider my suggestions and announce the new routes. 

Thank you in advance.

Thanks and Regards,
Kaviarasu Raman.
8147722826","???????? ????? ??????; 500-??(????? ????????? ??????? ????? ????? ????????? ????????) ????? 01 ??????? ?????, ????????? ? ?????? ??????????? ?????????????????? ???? ????? ??????: 500-??, 507-??, 507-????, ????-10 ?????? ????? 12 ??????????????, ? ????????????? ????????? ????????? ?????????? ??????????????????.",11-Dec-15
New Route,,Bengaluru,Bilikallu (towards Magadi Road),Majestic (towards Malleshwaram),,"At present, there is no direct bus service from Bilikallu to Majestic. We have bus services for Market and Shivajinagr- 241 . But unfortunately the frequency is very less and the timings is unknown.
Please do the needful. Have proper frequency and make sure the timings are maintained AND new service is introduced for Majestic.
Thanks.",,28-Dec-15
New Route,,Bengaluru,Peenya 2nd stage 14th Cross (towards PEENYA 2ND STAGE),Bannerghatta National Park (towards \N),,"peenya 2nd stage to bannergatta 
VIA sunkadakatte,  summahalli, nagarbhavi circle, nayanda halli junction,  banshankari TTMC, Jayadeva, BILLEKALLI, Hulimavu gate   ",,06-Jun-16
